index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_SEASONS,genre_id,country_id
0,Monty Python's Flying Circus,1969,8.8,4,4,1
1,Knight Rider,1982,6.9,4,6,2
2,Seinfeld,1989,8.9,9,4,2
3,Star Trek: Deep Space Nine,1993,8.1,7,2,2
4,Neon Genesis Evangelion,1995,8.5,1,2,9
5,Stargate SG-1,1997,8.4,10,2,2
6,Cowboy Bebop,1998,8.9,1,5,9
7,One Piece,1999,8.8,21,6,9
8,Gilmore Girls,2000,8.2,8,4,2
9,Trailer Park Boys,2001,8.6,12,4,14
10,Naruto,2002,8.4,6,2,9
11,Chappelle's Show,2003,8.8,3,4,2
12,The 4400,2004,7.3,4,2,2
13,Avatar: The Last Airbender,2005,9.3,3,2,2
14,DEATH NOTE,2006,9.0,1,2,9
15,iCarly,2007,6.7,6,4,2
16,Breaking Bad,2008,9.5,5,3,2
17,Community,2009,8.5,6,4,2
18,Downton Abbey,2010,8.7,6,3,1
19,Hunter x Hunter,2011,9.0,3,3,9
20,Call the Midwife,2012,8.5,11,3,1
21,Attack on Titan,2013,9.0,4,2,9
22,BoJack Horseman,2014,8.8,6,3,2
23,Better Call Saul,2015,8.8,6,4,2
24,Stranger Things,2016,8.7,5,2,2
25,Anne with an E,2017,8.7,3,3,14
26,Cobra Kai,2018,8.6,5,6,2
27,Kota Factory,2019,9.3,2,3,3
28,The Last Dance,2020,9.1,1,1,2
29,Arcane,2021,9.1,1,6,2
30,Heartstopper,2022,8.9,1,3,1
